,VIX,VIX3M,MOVE,HYG,IEF,XLY,XLP,SPX,VIX_TS,HYG_IEF,XLY_XLP,cluster_Vol,cluster_Credit,cluster_Risk_Off,ind_pct_VIX,ind_pct_VIX_TS,ind_pct_MOVE,ind_pct_HYG_IEF,ind_pct_XLY_XLP,regime,max_dd_20d,pre_crash,fwd_5d,fwd_20d,fwd_60d
2008-01-02,23.170000076293945,23.600000381469727,148.6999969482422,99.5,87.62999725341797,16.100000381469727,28.389999389648438,1447.1600341796875,0.9817796483802852,1.1354559296887237,0.5671011175625494,,,,,,,,,,-0.09443325613753029,False,-0.026279076535189128,-0.047410088539691864,-0.08600298520430172
2008-01-03,22.489999771118164,22.809999465942383,145.60000610351562,99.30999755859375,87.80999755859375,15.920000076293945,28.239999771118164,1447.1600341796875,0.9859710783727983,1.1309645862628146,0.5637393840412057,,,,,,,,,,-0.09443325613753029,False,-0.018539814181787073,-0.035752777172086136,-0.053193826978773284
2008-01-04,23.940000534057617,23.690000534057617,138.10000610351562,99.19999694824219,88.04000091552734,15.420000076293945,28.1200008392334,1411.6300048828125,1.010552975701313,1.126760516999797,0.5483641399746958,,,,,,,,,,-0.07164058891707104,False,-0.007516123428138122,-0.02182587398056035,-0.03124046345954401
2008-01-07,23.790000915527344,23.219999313354492,130.89999389648438,98.61000061035156,88.19999694824219,15.475000381469727,28.450000762939453,1416.1800537109375,1.0245478733431757,1.118027256488662,0.5439367299289608,,,,,,,,,,-0.07462331744753437,False,4.939081642851839e-05,-0.056165202195917474,-0.03309607065455411
2008-01-08,25.43000030517578,25.489999771118164,124.0,98.04000091552734,88.38999938964844,15.175000190734863,28.239999771118164,1390.18994140625,0.9976461566700222,1.1091752640854644,0.5373583680498029,,,,,,,,,,-0.05732305998821963,False,-0.006646566745424964,-0.045849842770332994,-0.014235405107426491
2008-01-09,24.1200008392334,24.5,128.0,96.97000122070312,88.25,15.28499984741211,28.6200008392334,1409.1300048828125,0.9844898301727918,1.0988102121326133,0.5340670649617467,,,,,,,,,,-0.06999354533722735,False,-0.025498040341512374,-0.051251460442169106,-0.025966352070798115
2008-01-10,23.450000762939453,23.950000762939453,125.30000305175781,97.69000244140625,88.01000213623047,15.5,28.670000076293945,1420.3299560546875,0.9791231739427038,1.1099875022181245,0.5406348084671377,,,,,,,,,,-0.07732707149243478,False,-0.06130966659083448,-0.06268960012609859,-0.038575485054458625
2008-01-11,23.68000030517578,24.5,130.89999389648438,97.9000015258789,88.56999969482422,15.130000114440918,28.270000457763672,1401.02001953125,0.9665306247010523,1.105340429752761,0.5351963165704806,,,,,,,,,,-0.06461008284630787,False,-0.05412490690202343,-0.04417496808442789,-0.03321153777120389
2008-01-14,22.899999618530273,23.670000076293945,130.55999755859375,97.55999755859375,88.61000061035156,15.274999618530273,28.149999618530273,1416.25,0.9674693512766463,1.1010043661730506,0.5426287682247503,,,,,,,,,,-0.07466902030008826,False,-0.07466902030008826,-0.047583417227493374,-0.039329179997793506
2008-01-15,23.34000015258789,24.389999389648438,131.89999389648438,97.80999755859375,89.19000244140625,14.994999885559082,27.850000381469727,1380.949951171875,0.9569495996992036,1.0966475488421523,0.538420096235839,,,,,,,,,,-0.05101557164478776,False,-0.03066727765912103,-0.00994966560715338,-0.03484557501620744
2008-01-16,24.3799991607666,24.360000610351562,133.0,97.69999694824219,89.0199966430664,15.079999923706055,27.75,1373.199951171875,1.000820958535056,1.097506185491997,0.5434234206740921,,,,,,,,,,-0.045659738859127885,False,-0.015387420356940962,-0.017724997586506586,-0.03268278945430514
2008-01-17,28.459999084472656,26.440000534057617,135.10000610351562,97.01000213623047,89.73999786376953,14.829999923706055,27.549999237060547,1333.25,1.0763993384876471,1.0810118614388338,0.5382940230269256,,,,,,,,,,-0.017063566472904523,False,-0.001980134744749673,0.012555777411869418,0.0008850956016781542
2008-01-18,27.18000030517578,25.989999771118164,137.10000610351562,97.7699966430664,89.61000061035156,14.760000228881836,27.149999618530273,1325.18994140625,1.0457868620445325,1.091061220590732,0.5436464249085263,,,,,,,,,,-0.011085159151345114,False,0.021710110099930402,0.01780128806712189,0.029822154769234555
2008-01-22,31.010000228881836,27.389999389648438,147.3000030517578,97.08999633789062,90.61000061035156,15.050000190734863,26.8700008392334,1310.5,1.132165057316559,1.0715152376546697,0.5601041950382105,,,,,,,,,,0.01217088986789383,False,0.03952693538964125,0.03779475718952696,0.042014542994086135
